metric,value
villages,83069.0
savings_total_amount,40344347085.0
transaction_total_amount,202603113336.0
savings_per_village,485673.0
pct_any_savings,12.5
pct_any_transaction,3.28
pct_any_financial_footprint,14.27
ratio_savings_to_transactions,0.199
