cooperative_id,province,district,subdistrict,latitude,longitude,h3,k_any_road,k_non_track,km_any_road,km_non_track,road_band,track_only,m_to_any_road,m_to_made_road,km_to_made_road
20817,BENGKULU,KAB. KAUR,Nasal,4.7547024,103.6732864,623277075984777215,,,,,> ~5 km / none found,False,292280.6851489682,292280.6851489682,292.28
13600,JAWA TENGAH,KAB. TEGAL,Adiwerna,6.9436345,109.1349116,623353004639748095,,,,,> ~5 km / none found,False,270756.61820392153,270756.61820392153,270.76
14118,BANTEN,KAB. LEBAK,Rangkasbitung,6.346547,106.265945,623356075161714687,,,,,> ~5 km / none found,False,259548.4068248712,259548.4068248712,259.55
55343,BANTEN,KOTA SERANG,Kasemen,6.053302,106.166128,623356449422409727,,,,,> ~5 km / none found,False,246536.40702367248,246536.40702367248,246.54
45586,JAWA BARAT,KOTA BOGOR,Bogor Timur,6.651542,106.844984,623356072682684415,,,,,> ~5 km / none found,False,244660.96896069226,244660.96896069226,244.66
1309,LAMPUNG,KAB. WAY KANAN,Umpu Semenguk,4.57733,104.492936,623277116964012031,,,,,> ~5 km / none found,False,214215.97946709653,214215.97946709653,214.22
93928,PAPUA,KAB. SUPIORI,Supiori Barat,0.91612266,134.33231425,623513601288667135,,,,,> ~5 km / none found,False,185914.72002444282,185914.72002444282,185.91
94110,PAPUA,KAB. SUPIORI,Supiori Barat,0.91612266,134.33231425,623513601288667135,,,,,> ~5 km / none found,False,185914.72002444282,185914.72002444282,185.91
7269,LAMPUNG,KAB. LAMPUNG TENGAH,Bandar Surabaya,4.667889,105.694833,623277052336734207,,,,,> ~5 km / none found,False,159176.56241709762,159176.56241709762,159.18
3178,SUMATERA SELATAN,KAB. LAHAT,Merapi Timur,-3.6780928,99.0802972,623972858667859967,,,,,> ~5 km / none found,False,141787.73436708946,141787.73436708946,141.79
69640,SULAWESI SELATAN,KAB. LUWU TIMUR,Wotu,2.541454,120.772454,623342911289688063,,,,,> ~5 km / none found,False,132044.94764800667,132044.94764800667,132.04
93020,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.40744714,137.67971056,624254897626251263,23.0,,3.036,,> ~5 km / none found,True,3035.387324211035,126132.43782581434,126.13
93022,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.27904333,137.71723554,624255051075583999,,,,,> ~5 km / none found,False,5076.46523761509,118991.13744293587,118.99
93023,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.13318981,137.78679113,624255045768478719,,,,,> ~5 km / none found,False,18683.59535817575,109729.95860657621,109.73
92669,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.29358389,137.84007297,624255049736355839,,,,,> ~5 km / none found,False,9026.32429822311,105984.61819369163,105.98
84003,MALUKU,KAB. MALUKU TENGAH,Amahai,-6.73552538,129.5105427,624124149944975359,,,,,> ~5 km / none found,False,94404.65040142414,102579.09184492406,102.58
52605,KEPULAUAN RIAU,KAB. BINTAN,Tambelan,0.241294,108.0302082,623969668696145919,,,,,> ~5 km / none found,False,95587.17364827705,97294.93093387259,97.29
93016,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.32695451,137.94839205,624255050485727231,,,,,> ~5 km / none found,False,21147.81721048083,95236.71525691067,95.24
59051,KALIMANTAN BARAT,KAB. KETAPANG,Kendawangan,2.60102404,110.1900044,623354813128671231,,,,,> ~5 km / none found,False,83577.35947848258,89185.7468735202,89.19
81127,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Tangaya,-7.50050924,117.1832315,624119542939877375,,,,,> ~5 km / none found,False,82753.48075567078,82753.48075567078,82.75
88503,PAPUA BARAT DAYA,KAB. RAJA AMPAT,Kepulauan Ayau,1.06433022,131.26461334,623530657892958207,,,,,> ~5 km / none found,False,79413.52507209755,79413.52507209755,79.41
93433,PAPUA SELATAN,KAB. MERAUKE,Kontuar,-8.15705044,138.08055157,624255315518455807,,,,,> ~5 km / none found,False,38847.847086246176,77554.22345398003,77.55
93021,PAPUA SELATAN,KAB. MERAUKE,Waan,-8.32631656,138.12479727,624255317404221439,,,,,> ~5 km / none found,False,40471.744922637125,76644.60988125535,76.64
93827,PAPUA SELATAN,KAB. MERAUKE,Kontuar,-7.8227149,138.08387939,624255062512205823,,,,,> ~5 km / none found,False,50925.6071998573,76078.4473120832,76.08
70035,KEPULAUAN RIAU,KAB. BINTAN,Tambelan,0.60775835,106.98234524,623970407859585023,,,,,> ~5 km / none found,False,74925.34569050439,74925.34569050439,74.93
73791,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Tangaya,-7.5327803,117.3023444,624119142642909183,,,,,> ~5 km / none found,False,73656.88756504787,73656.88756504787,73.66
71772,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Tangaya,-7.52384606,117.433934,624119142017040383,,,,,> ~5 km / none found,False,70278.60421097338,70278.60421097338,70.28
66079,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Kalmas,-5.19561816,117.6657483,624121371106115583,,,,,> ~5 km / none found,False,68472.4869184573,68472.4869184573,68.47
92967,PAPUA BARAT,KAB. MANOKWARI,Masni Utara,-7.81556309,138.17173459,624255069051060223,,,,,> ~5 km / none found,False,43318.52194475537,66750.56091202576,66.75
91556,PAPUA,KAB. SARMI,Pantai Timur,-3.04888823,139.17691704,623511707430486015,,,,,> ~5 km / none found,False,50005.34927935124,66251.60796739157,66.25
70110,KEPULAUAN RIAU,KAB. BINTAN,Tambelan,0.60224235,107.0928209,623970393620283391,,,,,> ~5 km / none found,False,65327.12177100021,65327.12177100021,65.33
89367,PAPUA,KAB. SARMI,Pantai Timur,-3.08012787,139.24863667,623511708132900863,,,,,> ~5 km / none found,False,52360.28675072036,64717.36288592524,64.72
70495,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Tangaya,-7.58271765,117.4471386,624119138122170367,,,,,> ~5 km / none found,False,63607.84214420883,63607.84214420883,63.61
87581,PAPUA,KAB. SARMI,Bonggo,-3.1072243,139.33917721,623511708221079551,,,,,> ~5 km / none found,False,57918.638395925314,63008.81706243118,63.01
61350,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,Liukang Kalmas,-5.26035675,117.8915607,624121538070806527,,,,,> ~5 km / none found,False,61048.42295863421,61499.25116095371,61.5
88697,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,Pamek,-4.33364726,140.0220489,623516964294033407,,,,,> ~5 km / none found,False,59024.279764496045,59024.279764496045,59.02
