comparison,points,median_exact_m,median_error_m,median_abs_error_m,p90_abs_error_m,pct_within_132m
06 minimarket ring vs exact,16496,2082.8,168.8,175.1,527.8,40.6
05 road ring vs exact,800,117.7,-8.6,34.4,114.3,92.0
