cooperative_id,province,district,km_non_track,m_to_made_road,error_m
93470,PAPUA BARAT DAYA,KAB. TAMBRAUW,4.488,4231.055898641134,256.94410135886574
91681,PAPUA TENGAH,KAB. PUNCAK JAYA,0.924,864.9283805001184,59.07161949988165
92107,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,1.188,1220.0429459405332,-32.04294594053317
75463,SULAWESI BARAT,KAB. MAMASA,0.396,361.6145858301486,34.3854141698514
10590,SULAWESI TENGGARA,KAB. KONAWE SELATAN,0.132,80.26406388567936,51.73593611432064
929,JAWA TIMUR,KAB. GRESIK,0.0,11.49190995044586,-11.49190995044586
25561,NUSA TENGGARA TIMUR,KOTA KUPANG,0.0,2.2024316681079914,-2.2024316681079914
8278,SUMATERA UTARA,KAB. TAPANULI SELATAN,0.264,272.57592017407245,-8.57592017407245
31779,KALIMANTAN SELATAN,KAB. BANJAR,0.264,273.54742482489337,-9.547424824893369
20305,NUSA TENGGARA TIMUR,KAB. NGADA,1.32,1154.5395235617998,165.4604764382002
35268,SULAWESI BARAT,KAB. MAJENE,1.848,1662.864716696551,185.1352833034489
6764,JAWA TENGAH,KAB. PATI,0.0,9.399808226811933,-9.399808226811933
83651,JAWA BARAT,KAB. INDRAMAYU,0.0,27.27103316349981,-27.27103316349981
29552,ACEH,KOTA BANDA ACEH,0.0,36.10011338594077,-36.10011338594077
5627,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,3.3,3016.850451519488,283.14954848051184
36276,ACEH,KAB. ACEH TAMIANG,0.132,121.73225114450706,10.26774885549294
72383,SULAWESI SELATAN,KAB. ENREKANG,0.132,158.74667212963197,-26.746672129631975
51369,KALIMANTAN TENGAH,KAB. KAPUAS,0.528,478.3326695863512,49.66733041364881
63035,ACEH,KAB. GAYO LUES,0.132,183.43185066010844,-51.43185066010844
27573,JAWA TIMUR,KAB. MALANG,0.0,20.636892553281385,-20.636892553281385
25368,PAPUA,KAB. KEPULAUAN YAPEN,1.848,1664.8607416765424,183.13925832345763
65518,SUMATERA UTARA,KOTA PEMATANGSIANTAR,0.0,17.43139720844696,-17.43139720844696
86623,PAPUA BARAT DAYA,KAB. SORONG,0.0,100.40617910392764,-100.40617910392764
16751,MALUKU UTARA,KOTA TIDORE KEPULAUAN,0.396,382.2824493069729,13.717550693027079
26103,SUMATERA UTARA,KAB. MANDAILING NATAL,0.0,114.38137708459323,-114.38137708459323
35083,JAWA TIMUR,KAB. BANGKALAN,0.0,3.0374607688653916,-3.0374607688653916
2522,SUMATERA SELATAN,KAB. OGAN ILIR,0.924,973.8174945546298,-49.817494554629775
92546,PAPUA SELATAN,KAB. MERAUKE,0.0,25.00930328161777,-25.00930328161777
86314,ACEH,KAB. ACEH BESAR,0.924,856.0623523258818,67.93764767411824
51429,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,1.848,1705.92784001979,142.07215998021002
70636,JAWA TENGAH,KAB. PURWOREJO,0.0,32.25241946416675,-32.25241946416675
20155,SULAWESI SELATAN,KAB. BONE,0.66,508.0091424803697,151.9908575196303
16123,JAWA TIMUR,KAB. KEDIRI,0.0,29.528404937865492,-29.528404937865492
66165,MALUKU UTARA,KAB. HALMAHERA UTARA,0.396,464.5370655550194,-68.53706555501941
71809,KALIMANTAN BARAT,KAB. MEMPAWAH,0.0,14.959877559441898,-14.959877559441898
78630,ACEH,KAB. SIMEULUE,0.0,4.602176098349073,-4.602176098349073
60683,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,0.264,198.89426439562695,65.10573560437305
59620,KALIMANTAN BARAT,KAB. SEKADAU,0.264,221.0387606255133,42.961239374486695
58805,BANTEN,KAB. LEBAK,0.132,73.52763680063353,58.47236319936647
68109,ACEH,KAB. PIDIE,0.0,12.308253756249831,-12.308253756249831
66296,SUMATERA UTARA,KAB. ASAHAN,0.0,29.196287185019322,-29.196287185019322
