island,cooperatives,median_elevation_m,median_relief_m,pct_steep
PAPUA,7062,532.7982788085938,51.720001220703125,44.65
NUSA TENGGARA,5342,259.77342224121094,33.423519134521484,27.93
MALUKU,2427,79.40299224853516,31.060813903808594,27.44
SULAWESI,10554,65.86098861694336,20.386859893798828,23.3
SUMATRA,25587,42.33647155761719,12.54896354675293,10.43
JAVA,25247,90.57208251953125,10.4845552444458,6.14
KALIMANTAN,7160,12.573931694030762,8.334039211273193,4.68
