cooperative_id,landcover_code,landcover
28843,50,Built-up
29679,10,Tree cover
35902,40,Cropland
36590,10,Tree cover
36679,10,Tree cover
36829,10,Tree cover
43747,40,Cropland
48013,40,Cropland
49344,50,Built-up
67806,10,Tree cover
71818,10,Tree cover
71819,10,Tree cover
71851,10,Tree cover
15702,50,Built-up
25846,50,Built-up
25884,50,Built-up
27292,50,Built-up
27306,40,Cropland
27324,50,Built-up
27364,40,Cropland
27390,50,Built-up
27396,50,Built-up
27489,50,Built-up
28768,50,Built-up
28771,40,Cropland
28957,40,Cropland
29598,50,Built-up
38824,10,Tree cover
39373,50,Built-up
44322,50,Built-up
46876,50,Built-up
16210,50,Built-up
25728,50,Built-up
28673,50,Built-up
28748,50,Built-up
30403,50,Built-up
41478,50,Built-up
42381,50,Built-up
19696,40,Cropland
20829,50,Built-up
20892,50,Built-up
25696,50,Built-up
32430,40,Cropland
32717,50,Built-up
32785,40,Cropland
32889,40,Cropland
36843,50,Built-up
38743,50,Built-up
41187,50,Built-up
46633,50,Built-up
47689,40,Cropland
50817,40,Cropland
57829,40,Cropland
62451,50,Built-up
62641,50,Built-up
65176,10,Tree cover
74366,50,Built-up
85533,50,Built-up
19698,10,Tree cover
32229,10,Tree cover
39996,40,Cropland
41200,40,Cropland
45253,50,Built-up
46980,40,Cropland
47318,10,Tree cover
47639,10,Tree cover
47788,40,Cropland
48319,10,Tree cover
50875,10,Tree cover
51805,50,Built-up
51806,50,Built-up
81928,40,Cropland
81938,50,Built-up
82184,10,Tree cover
83810,40,Cropland
84040,10,Tree cover
19783,50,Built-up
23108,50,Built-up
23381,50,Built-up
32410,40,Cropland
32616,50,Built-up
32659,50,Built-up
32667,50,Built-up
39391,50,Built-up
39638,50,Built-up
41215,50,Built-up
41682,50,Built-up
41716,10,Tree cover
47188,40,Cropland
47568,40,Cropland
49084,50,Built-up
62032,50,Built-up
62242,50,Built-up
62647,50,Built-up
19867,10,Tree cover
25840,50,Built-up
28871,30,Grassland
36488,30,Grassland
36518,30,Grassland
44953,50,Built-up
50182,50,Built-up
50967,50,Built-up
22961,50,Built-up
23124,50,Built-up
32761,50,Built-up
32801,40,Cropland
32873,30,Grassland
32884,50,Built-up
34817,40,Cropland
36887,50,Built-up
36945,50,Built-up
41700,50,Built-up
43822,50,Built-up
47865,50,Built-up
49021,50,Built-up
49332,40,Cropland
49368,50,Built-up
49382,10,Tree cover
50760,50,Built-up
52800,40,Cropland
60396,40,Cropland
27363,50,Built-up
29115,10,Tree cover
29177,50,Built-up
29194,50,Built-up
31639,10,Tree cover
38790,50,Built-up
40217,50,Built-up
45030,50,Built-up
52853,50,Built-up
54848,50,Built-up
55857,50,Built-up
59684,40,Cropland
61891,50,Built-up
62246,50,Built-up
62415,50,Built-up
63526,50,Built-up
63825,50,Built-up
65193,40,Cropland
65198,50,Built-up
27377,50,Built-up
32614,10,Tree cover
43179,50,Built-up
43850,50,Built-up
49343,50,Built-up
49364,10,Tree cover
49490,50,Built-up
49537,50,Built-up
50964,50,Built-up
51119,50,Built-up
51944,50,Built-up
51961,50,Built-up
54160,10,Tree cover
54638,50,Built-up
65227,10,Tree cover
80014,50,Built-up
