cooperative_id,landcover_code,landcover
68698,50,Built-up
69332,30,Grassland
69448,50,Built-up
69920,40,Cropland
69955,50,Built-up
69972,10,Tree cover
70902,50,Built-up
481,10,Tree cover
2514,50,Built-up
23035,50,Built-up
25647,50,Built-up
36739,10,Tree cover
36812,40,Cropland
36899,10,Tree cover
37005,40,Cropland
43701,50,Built-up
48972,30,Grassland
50660,40,Cropland
54108,40,Cropland
69233,40,Cropland
2661,40,Cropland
25671,50,Built-up
25706,50,Built-up
25725,40,Cropland
25726,50,Built-up
25741,10,Tree cover
25747,40,Cropland
25781,10,Tree cover
25825,40,Cropland
28970,40,Cropland
30272,40,Cropland
36740,50,Built-up
42208,50,Built-up
42219,40,Cropland
42220,40,Cropland
43721,40,Cropland
43759,40,Cropland
48896,10,Tree cover
48900,50,Built-up
48911,10,Tree cover
2667,10,Tree cover
33076,10,Tree cover
47669,10,Tree cover
48983,10,Tree cover
59047,10,Tree cover
59119,10,Tree cover
69219,30,Grassland
69238,50,Built-up
69339,10,Tree cover
69348,10,Tree cover
69358,10,Tree cover
70274,50,Built-up
70459,10,Tree cover
3329,30,Grassland
28794,40,Cropland
36732,10,Tree cover
48919,10,Tree cover
50265,10,Tree cover
54127,40,Cropland
59046,40,Cropland
74681,10,Tree cover
84911,10,Tree cover
8727,10,Tree cover
10614,40,Cropland
13221,40,Cropland
13363,50,Built-up
15529,40,Cropland
16048,10,Tree cover
19661,40,Cropland
19703,50,Built-up
82476,50,Built-up
14638,50,Built-up
41748,40,Cropland
48706,10,Tree cover
52809,40,Cropland
57896,10,Tree cover
66518,30,Grassland
75437,10,Tree cover
75457,10,Tree cover
78470,40,Cropland
79484,10,Tree cover
81927,40,Cropland
82015,10,Tree cover
84413,50,Built-up
84752,10,Tree cover
15120,30,Grassland
16663,40,Cropland
23210,40,Cropland
32296,10,Tree cover
32435,40,Cropland
32869,10,Tree cover
39353,10,Tree cover
39398,10,Tree cover
39405,50,Built-up
39408,40,Cropland
39461,40,Cropland
39482,40,Cropland
54110,50,Built-up
79032,10,Tree cover
15540,40,Cropland
25689,10,Tree cover
25896,40,Cropland
28737,50,Built-up
36876,40,Cropland
43687,40,Cropland
43763,40,Cropland
48274,40,Cropland
48960,40,Cropland
50285,40,Cropland
60608,40,Cropland
62789,40,Cropland
69106,40,Cropland
69240,50,Built-up
70008,40,Cropland
70401,50,Built-up
70426,40,Cropland
83161,40,Cropland
84857,10,Tree cover
84870,40,Cropland
84875,40,Cropland
84877,40,Cropland
84881,40,Cropland
84901,40,Cropland
84902,40,Cropland
84903,30,Grassland
84910,10,Tree cover
84912,40,Cropland
19659,50,Built-up
32289,30,Grassland
32350,10,Tree cover
32503,50,Built-up
32525,40,Cropland
32556,10,Tree cover
32700,30,Grassland
32823,40,Cropland
32903,40,Cropland
32984,10,Tree cover
33163,10,Tree cover
36631,10,Tree cover
36639,10,Tree cover
36718,40,Cropland
28976,40,Cropland
29060,10,Tree cover
29112,10,Tree cover
29553,10,Tree cover
31138,40,Cropland
32278,50,Built-up
32744,40,Cropland
36566,10,Tree cover
36956,10,Tree cover
32360,30,Grassland
32882,50,Built-up
32906,10,Tree cover
33034,10,Tree cover
33048,40,Cropland
39446,10,Tree cover
39493,50,Built-up
43761,40,Cropland
43864,50,Built-up
47353,10,Tree cover
56040,10,Tree cover
59071,10,Tree cover
34804,10,Tree cover
49505,40,Cropland
50103,40,Cropland
50646,10,Tree cover
59058,40,Cropland
69782,40,Cropland
71088,40,Cropland
74689,40,Cropland
74690,10,Tree cover
76362,40,Cropland
80586,10,Tree cover
80598,40,Cropland
80600,40,Cropland
80606,40,Cropland
84332,40,Cropland
84333,40,Cropland
84336,40,Cropland
84337,50,Built-up
84814,40,Cropland
84845,50,Built-up
84855,10,Tree cover
36668,40,Cropland
36915,40,Cropland
59059,40,Cropland
59062,40,Cropland
