as_of,value,miliar,change_miliar,outlet,url
2026-07-31,157900000000,157.9,,Liputan6,https://www.liputan6.com/bisnis/read/8258962/data-terbaru-total-koperasi-desa-merah-putih-83382-transaksi-rp-1579-miliar
2026-08-09,179720000000,179.72,21.82,Liputan6,https://www.liputan6.com/bisnis/read/8265525/transaksi-koperasi-merah-putih-tembus-rp-179-miliar-beras-terlaris
