cooperative_id,name,province,district,subdistrict,latitude,longitude,type,n_at_coord
92952,KOPERASI DESA MERAH PUTIH KAMPUNG WONABRAIDI,PAPUA,KAB. BIAK NUMFOR,Andey,-3.0317055,132.4712616,exact_duplicate_coordinate,2
92974,KOPERASI DESA MERAH PUTIH KAMPUNG PASI,PAPUA,KAB. BIAK NUMFOR,Aimando Padaido,-5.80252374,139.14182557,exact_duplicate_coordinate,2
92999,KOPERASI DESA MERAH PUTIH KAMPUNG BOKONDINI DISTRIK BOKONDINI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Bokondini,-3.69336045,138.66826959,exact_duplicate_coordinate,2
93001,KOPERASI KELURAHAN MERAH PUTIH MANSINYAS,PAPUA,KAB. BIAK NUMFOR,Samofa,-1.195699,136.1494184,exact_duplicate_coordinate,2
93003,KOPERASI DESA MERAH PUTIH KAMPUNG MAMIT DISTRIK KEMBU,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Kembu,-3.59097359,138.40615621,exact_duplicate_coordinate,2
93006,KOPERASI DESA MERAH PUTIH KAMPUNG ABOGE,PAPUA SELATAN,KAB. MAPPI,Assue,-0.9648483,134.9379917,exact_duplicate_coordinate,2
93009,KOPERASI DESA MERAH PUTIH KAMPUNG KHANAMI,PAPUA SELATAN,KAB. MAPPI,Assue,-0.97040116,134.94306412,exact_duplicate_coordinate,2
93010,KOPERASI DESA MERAH PUTIH KAMPUNG MEDA,PAPUA SELATAN,KAB. MAPPI,Assue,-0.9648483,134.9379917,exact_duplicate_coordinate,2
93012,KOPERASI DESA MERAH PUTIH KAMPUNG KIKI,PAPUA SELATAN,KAB. MAPPI,Assue,-1.28030642,136.59958014,exact_duplicate_coordinate,2
93027,KOPERASI DESA MERAH PUTIH KAMPUNG SARWA,PAPUA,KAB. BIAK NUMFOR,Swandiwe,-0.9065,135.778065,exact_duplicate_coordinate,2
93042,KOPERASI DESA MERAH PUTIH RUTUM,PAPUA BARAT DAYA,KAB. RAJA AMPAT,Kepulauan Ayau,-4.61902475,139.25968425,exact_duplicate_coordinate,2
93097,KOPERASI DESA MERAH PUTIH SUMBO,PAPUA PEGUNUNGAN,KAB. NDUGA,Yigi,-4.235683,138.390818,exact_duplicate_coordinate,2
93126,KOPERASI DESA MERAH PUTIH HESMAT KECAMATAN KURIMA,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,Kurima,-0.208328,131.314021,exact_duplicate_coordinate,2
93141,KOPERASI DESA MERAH PUTIH KAMPUNG MENYA,PAPUA SELATAN,KAB. MAPPI,Passue,-1.1298783,136.3295216,exact_duplicate_coordinate,2
93144,KOPERASI DESA MERAH PUTIH KAMPUNG MIOS MANGGUANDI,PAPUA,KAB. BIAK NUMFOR,Aimando Padaido,-1.28030642,136.59958014,exact_duplicate_coordinate,2
93147,KOPERASI DESA MERAH PUTIH KAMPUNG SUPRAIMA,PAPUA,KAB. BIAK NUMFOR,Aimando Padaido,-5.94234395,139.18395419,exact_duplicate_coordinate,2
93215,KOPERASI DESA MERAH PUTIH DISENDOBO,PAPUA PEGUNUNGAN,KAB. NDUGA,Yigi,-4.235683,138.390818,exact_duplicate_coordinate,2
93342,KOPERASI DESA MERAH PUTIH KEPI,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,Maima,-1.3767716,131.3862985,exact_duplicate_coordinate,2
93367,KOPERASI DESA MERAH PUTIH KAMPUNG KABORI DISTRIK KEMBU,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Kembu,-3.5950651,138.39251552,exact_duplicate_coordinate,2
93403,KOPERASI DESA MERAH PUTIH KAMPUNG GATINI DISTRIK UMAGI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Umagi,-3.51201831,138.34906457,exact_duplicate_coordinate,2
93426,KOPERASI DESA MERAH PUTIH KAMPUNG KUMA DISTRIK NUMBA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Numba,-3.67892577,138.50910643,exact_duplicate_coordinate,2
93458,KOPERASI DESA MERAH PUTIH KUMA DISTRIK NUMBA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Numba,-3.67892577,138.50910643,exact_duplicate_coordinate,2
93476,KOPERASI DESA MERAH PUTIH RATOKSATU MITRA ASIA,SULAWESI UTARA,KOTA MANADO,Wenang,1.48457005,124.8437036,exact_duplicate_coordinate,2
93477,KOPERASI KELURAHAN MERAH PUTIH ANJAREUW,PAPUA,KAB. BIAK NUMFOR,Samofa,-1.13928608,136.11537596,exact_duplicate_coordinate,2
93556,KOPERASI DESA MERAH PUTIH KAHALE KECAMATAN KODI BALAGHAR,NUSA TENGGARA TIMUR,KAB. SUMBA BARAT DAYA,Kodi Balaghar,-9.69703079,119.1043913,exact_duplicate_coordinate,2
93561,KOPERASI DESA MERAH PUTIH TANAH MERAH SUMURI,PAPUA BARAT,KAB. TELUK BINTUNI,Sumuri,-5.54689528,138.1492912,exact_duplicate_coordinate,2
93566,KOPERASI DESA MERAH PUTIH MAIMA DISTRIK MAIMA,PAPUA PEGUNUNGAN,KAB. JAYAWIJAYA,Maima,-1.35383729,131.4776476,exact_duplicate_coordinate,2
93652,KOPERASI DESA MERAH PUTIH KAMPUNG KOTORAMBUR DISTRIK KAI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Kai,-3.66063418,138.53428923,exact_duplicate_coordinate,2
93666,KOPERASI DESA MERAH PUTIH SYURDORI,PAPUA,KAB. SUPIORI,Supiori Timur,-1.38344098,133.71498275,exact_duplicate_coordinate,2
93761,KOPERASI DESA MERAH PUTIH LANGGIME,PAPUA PEGUNUNGAN,KAB. LANNY JAYA,Nikogwe,-3.84609231,138.5634633,exact_duplicate_coordinate,2
93888,KOPERASI DESA MERAH PUTIH KAMPUNG JEKITO DISTRIK NABUNAGE,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Nabunage,-3.69307345,138.39778084,exact_duplicate_coordinate,2
93889,KOPERASI DESA MERAH PUTIH KAMPUNG NABUNAGE DISTRIK NABUNAGE,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Nabunage,-3.69307345,138.39778084,exact_duplicate_coordinate,2
93914,KOPERASI DESA MERAH PUTIH KAMPUNG WIYALUK DISTRIK LI ANOGOMA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Li Anogomma,-3.65042485,138.47972258,exact_duplicate_coordinate,2
93915,KOPERASI DESA MERAH PUTIH KAMPUNG ABURAGE DISTRIK LI ANOGOMA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Li Anogomma,-3.65478859,138.4877368,exact_duplicate_coordinate,2
93921,KOPERASI DESA MERAH PUTIH KAMPUNG GITAR DISTRIK WUGI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Wugi,-3.71644128,138.49639733,exact_duplicate_coordinate,2
93928,KOPERASI DESA MERAH PUTIH MAPIA,PAPUA,KAB. SUPIORI,Supiori Barat,0.91612266,134.33231425,exact_duplicate_coordinate,2
93958,KOPERASI DESA MERAH PUTIH KAMPUNG WUGI DISTRIK WUGI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Wugi,-3.71644128,138.49639733,exact_duplicate_coordinate,2
93968,KOPERASI DESA MERAH PUTIH KAMPUNG WURINERI DISTRIK WUNIM,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Wunim,-3.6511869,138.56359009,exact_duplicate_coordinate,2
93973,KOPERASI DESA MERAH PUTIH KAMPUNG ARIDUNDA DISTRIK ANAWI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Anawi,-3.72105683,138.52204011,exact_duplicate_coordinate,2
93975,KOPERASI DESA MERAH PUTIH KAMPUNG GINERI DISTRIK ANAWI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Anawi,-3.71385138,138.52299883,exact_duplicate_coordinate,2
94019,KOPERASI DESA MERAH PUTIH KAMPUNG WURINERI DISTRIK WUNIM KABUPATEN TOLIKARA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Wunim,-3.6511869,138.56359009,exact_duplicate_coordinate,2
94022,KOPERASI DESA MERAH PUTIH KAMPUNG ARIDUNDA DISTRIK ANAWI KABUPATEN TOLIKARA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Anawi,-3.72105683,138.52204011,exact_duplicate_coordinate,2
94023,KOPERASI DESA MERAH PUTIH KAMPUNG GINERI DISTRIK ANAWI KABUPATEN TOLIKARA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Anawi,-3.71385138,138.52299883,exact_duplicate_coordinate,2
94060,KOPERASI DESA MERAH PUTIH WANA SARI KECAMATAN MUARA WAHAU,KALIMANTAN BARAT,KAB. SINTANG,Ketungau Tengah,0.78906839,111.672921,exact_duplicate_coordinate,2
94074,KOPERASI DESA MERAH PUTIH KAMPUNG KEMBU DISTRIK DUNDU,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Dundu,-3.42094808,138.39634786,exact_duplicate_coordinate,2
94075,KOPERASI DESA MERAH PUTIH KAMPUNG BIMO DISTRIK DUNDU,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Dundu,-3.42094808,138.39634786,exact_duplicate_coordinate,2
94099,KOPERASI DESA MERAH PUTIH KAMPUNG ULI ULI,PAPUA SELATAN,KAB. MERAUKE,Ilwayab,-1.04028543,133.8486613,exact_duplicate_coordinate,2
94101,KOPERASI DESA MERAH PUTIH KAMPUNG KUMAAF,PAPUA BARAT,KAB. MANOKWARI,Tanah Rubuh,-1.18871752,134.0695302,exact_duplicate_coordinate,2
94107,KOPERASI DESA MERAH PUTIH KAMPUNG BAIDUB,PAPUA SELATAN,KAB. MERAUKE,Ulilin,-1.19486797,134.1720847,exact_duplicate_coordinate,2
94108,KOPERASI DESA MERAH PUTIH KAMPUNG KAPTEL,PAPUA SELATAN,KAB. MERAUKE,Kaptel,-0.82504408,133.8138633,exact_duplicate_coordinate,2
94109,KOPERASI DESA MERAH PUTIH KAMPUNG OKER DISTRIK GUNDAGI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Gundagi,-3.40080343,138.33213262,exact_duplicate_coordinate,2
94110,KOPERASI DESA MERAH PUTIH MAPIA DISTRIK SUPIORI BARAT,PAPUA,KAB. SUPIORI,Supiori Barat,0.91612266,134.33231425,exact_duplicate_coordinate,2
94113,KOPERASI DESA MERAH PUTIH KAMPUNG KINDIKI,PAPUA SELATAN,KAB. MERAUKE,Ulilin,-1.2067761,134.06612623,exact_duplicate_coordinate,2
94120,KOPERASI KELURAHAN MERAH PUTIH KARUBAGA DISTRIK KARUBAGA,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Karubaga,-3.68596879,138.47804832,exact_duplicate_coordinate,2
94121,KOPERASI KELURAHAN MERAH PUTIH BOKONDINI DISTRIK BOKONDINI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Bokondini,-3.69336045,138.66826959,exact_duplicate_coordinate,2
94123,KOPERASI KELURAHAN MERAH PUTIH MAMIT DISTRIK KEMBU,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Kembu,-3.59097359,138.40615621,exact_duplicate_coordinate,2
94125,KOPERASI DESA MERAH PUTIH KAMPUNG GETIEM DISTRIK TAGINERI,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Tagineri,-3.75415847,138.57842562,exact_duplicate_coordinate,2
94126,KOPERASI DESA MERAH PUTIH KAMPUNG GETIEM,PAPUA PEGUNUNGAN,KAB. TOLIKARA,Tagineri,-3.75415847,138.57842562,exact_duplicate_coordinate,2
94130,KOPERASI KELURAHAN MERAH PUTIH ESA KETER KECAMATAN TOMPASO,SULAWESI UTARA,KAB. MINAHASA,Tompaso,1.17900993,124.795185,exact_duplicate_coordinate,2
