cooperative_id,cooperative,province,district,subdistrict,latitude,longitude,in_cemetery,cemetery_name,cemetery_osm_id,cemetery_depth_m,dist_cemetery_m,in_farmland,farmland_name,farmland_osm_id,farmland_depth_m,dist_farmland_m,in_marketplace,marketplace_name,marketplace_osm_id,marketplace_depth_m,dist_marketplace_m,dist_village_m,dist_worship_m,farmland_polygon_km2,farmland_polygon_villages,farmland_polygon_coarse,dist_village_core_m,outside_village_core,land_status,land_surveyor,own_cell_pop,pop_within_1_4km,km_non_track,km_any_road,roadside,imagery_url,near_people,deep_in_field,landcover_code,landcover,confirmed_agricultural
32543,KOPERASI DESA MERAH PUTIH PEMANA,NUSA TENGGARA TIMUR,KAB. SIKKA,Alok,-8.35436094,122.3124109,False,,-1,,34422.2,True,,19364620,382.5,0.0,False,,-1,,31128.4,884.9,12602.9,4.627,0,False,884.9,True,Sedang Diverifikasi,KOPERASI,1.0,2314.0,0.396,0.0,True,"https://www.google.com/maps/@-8.35436094,122.3124109,250m/data=!3m1!1e3",True,True,10,Tree cover,False
66493,KOPERASI DESA MERAH PUTIH SOKOKIDUL KECAMATAN KEBONAGUNG KABUPATEN DEMAK,JAWA TENGAH,KAB. DEMAK,Kebonagung,-6.97485205,110.7075337,False,,-1,,7945.8,True,,691943065,381.9,0.0,False,,-1,,6096.2,396.6,1104.0,2.305,0,False,396.6,False,Terverifikasi,Agrinas,1182.0,23869.0,0.396,0.132,True,"https://www.google.com/maps/@-6.97485205,110.7075337,250m/data=!3m1!1e3",True,True,40,Cropland,True
51297,KOPERASI DESA MERAH PUTIH KARANGHARJA PEBAYURAN,JAWA BARAT,KAB. BEKASI,Pebayuran,-6.1085792,107.2131563,False,,-1,,709.3,True,,548658269,378.2,0.0,False,,-1,,7389.3,985.2,654.3,28.381,0,False,654.3,False,Perlu Verifikasi Lanjutan,Agrinas,130.0,39795.0,0.396,0.264,False,"https://www.google.com/maps/@-6.1085792,107.2131563,250m/data=!3m1!1e3",True,True,40,Cropland,True
36638,KOPERASI DESA MERAH PUTIH SUKADARMA SUKATANI,JAWA BARAT,KAB. BEKASI,Sukatani,-6.16000242,107.1847868,False,,-1,,393.0,True,,549605364,378.0,0.0,False,,-1,,1270.8,1162.7,1441.9,33.95,1,False,1162.7,True,Dipertimbangkan,Agrinas,519.0,64091.0,0.132,0.132,True,"https://www.google.com/maps/@-6.16000242,107.1847868,250m/data=!3m1!1e3",True,True,40,Cropland,True
41234,KOPERASI DESA MERAH PUTIH TAMBAKBOYO,JAWA TIMUR,KAB. NGAWI,Mantingan,-7.42877825,111.1308589,False,,-1,,1149.6,True,,687360400,373.1,0.0,False,,-1,,3062.5,864.7,881.4,2.206,0,False,864.7,True,Terverifikasi,KOPERASI,320.0,14581.0,0.396,0.396,False,"https://www.google.com/maps/@-7.42877825,111.1308589,250m/data=!3m1!1e3",True,True,40,Cropland,True
722,KOPERASI DESA MERAH PUTIH KEKERI,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,Gunungsari,-8.55796542,116.1268932,False,,-1,,777.9,True,,1221261926,368.7,0.0,False,,-1,,964.9,172.5,88.1,2.195,1,False,88.1,False,Sedang Diverifikasi,KOPERASI,2283.0,102063.0,0.0,0.0,True,"https://www.google.com/maps/@-8.55796542,116.1268932,250m/data=!3m1!1e3",True,True,50,Built-up,False
85410,KOPERASI DESA MERAH PUTIH SYARIAH TUMPOK BEURANDANG,ACEH,KAB. ACEH UTARA,Muara Batu,5.24661984,96.94080909,False,,-1,,3732.1,True,,5478655,367.7,0.0,False,,-1,,17816.0,907.7,1633.4,17.287,0,False,907.7,True,Tidak Ada Lahan,,898.0,27055.0,0.396,0.0,True,"https://www.google.com/maps/@5.24661984,96.94080909,250m/data=!3m1!1e3",True,True,40,Cropland,True
3575,KOPERASI KELURAHAN MERAH PUTIH PATIHAN WETAN KECAMATAN BABADAN,JAWA TIMUR,KAB. PONOROGO,Babadan,-7.81634171,111.4825941,False,,-1,,4386.3,True,,896609551,366.9,0.0,False,,-1,,3939.2,1643.0,2706.0,2.541,0,False,1643.0,True,Tidak Ada Lahan,,84.0,26802.0,0.264,0.264,False,"https://www.google.com/maps/@-7.81634171,111.4825941,250m/data=!3m1!1e3",True,True,40,Cropland,True
38777,KOPERASI DESA MERAH PUTIH BUMIAJI KECAMATAN GONDANG,JAWA TENGAH,KAB. SRAGEN,Gondang,-7.3996261,111.0850339,False,,-1,,1018.8,True,,689359463,366.7,0.0,False,,-1,,3502.2,636.3,1222.6,1.441,0,False,636.3,False,Terverifikasi,Agrinas,1.0,27652.0,0.396,0.0,True,"https://www.google.com/maps/@-7.3996261,111.0850339,250m/data=!3m1!1e3",True,True,40,Cropland,True
84477,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG IE TAREK II,ACEH,KAB. ACEH UTARA,Simpang Keuramat,5.09921418,97.10571486,False,,-1,,2113.2,True,,4727027,363.5,0.0,False,,-1,,9719.1,843.8,2473.0,4.942,0,False,843.8,True,Tidak Ada Lahan,,1.0,13518.0,0.528,0.528,False,"https://www.google.com/maps/@5.09921418,97.10571486,250m/data=!3m1!1e3",True,True,40,Cropland,True
67912,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG KEUTAPANG KECAMATAN NISAM,ACEH,KAB. ACEH UTARA,Nisam,5.17424122,97.04519708,False,,-1,,4911.9,True,,4425648,359.4,0.0,False,,-1,,11813.9,483.8,2267.5,6.798,0,False,483.8,False,,,59.0,8184.0,0.528,0.528,False,"https://www.google.com/maps/@5.17424122,97.04519708,250m/data=!3m1!1e3",True,True,40,Cropland,True
71884,KOPERASI DESA MERAH PUTIH PESANTREN KECAMATAN TAMBAK KABUPATEN BANYUMAS,JAWA TENGAH,KAB. BANYUMAS,Tambak,-7.61693161,109.4220703,False,,-1,,5594.4,True,,681415331,354.6,0.0,False,,-1,,1945.3,979.8,1856.3,1.628,0,False,979.8,True,Terverifikasi,Agrinas,1.0,44254.0,0.396,0.396,False,"https://www.google.com/maps/@-7.61693161,109.4220703,250m/data=!3m1!1e3",True,True,40,Cropland,True
67459,KOPERASI DESA MERAH PUTIH MEKARMULYA KECAMATAN KERTAJATI,JAWA BARAT,KAB. MAJALENGKA,Kertajati,-6.59958857,108.1104339,False,,-1,,12304.1,True,,472456776,348.8,0.0,False,,-1,,12502.9,4113.6,6082.2,117.297,0,False,4113.6,True,Terverifikasi,Agrinas,30.0,1091.0,0.264,0.264,False,"https://www.google.com/maps/@-6.59958857,108.1104339,250m/data=!3m1!1e3",True,True,10,Tree cover,False
10239,KOPERASI KELURAHAN MERAH PUTIH KERAMAT RAYA,SUMATERA SELATAN,KAB. BANYUASIN,Talang Kelapa,-2.85195026,104.7641999,False,,-1,,7954.7,True,,169004546,348.6,0.0,False,,-1,,9088.2,5040.9,6707.1,15.859,0,False,5040.9,True,Tidak Ada Lahan,,0.0,806.0,0.132,0.132,True,"https://www.google.com/maps/@-2.85195026,104.7641999,250m/data=!3m1!1e3",True,True,20,Shrubland,False
55955,KOPERASI DESA MERAH PUTIH METESIH KECAMATAN JIWAN,JAWA TIMUR,KAB. MADIUN,Jiwan,-7.64190978,111.4915275,False,,-1,,1934.4,True,,1115407839,348.0,0.0,False,,-1,,2914.5,643.6,1400.0,1.138,0,False,643.6,False,Terverifikasi,KOPERASI,617.0,59237.0,0.0,0.0,True,"https://www.google.com/maps/@-7.64190978,111.4915275,250m/data=!3m1!1e3",True,True,40,Cropland,True
85002,KOPERASI DESA MERAH PUTIH SYARIAH DAKUTA,ACEH,KAB. ACEH UTARA,Muara Batu,5.24603804,96.94450863,False,,-1,,3370.6,True,,5478655,345.8,0.0,False,,-1,,18187.1,944.8,1403.4,17.287,0,False,944.8,True,Tidak Ada Lahan,,422.0,25768.0,0.396,0.264,False,"https://www.google.com/maps/@5.24603804,96.94450863,250m/data=!3m1!1e3",True,True,40,Cropland,True
8411,KOPERASI DESA MERAH PUTIH CILUK KECAMATAN KAUMAN,JAWA TIMUR,KAB. PONOROGO,Kauman,-7.89361619,111.42757194,False,,-1,,5704.5,True,,679548519,344.0,0.0,False,,-1,,3594.7,1490.7,4309.2,6.031,0,False,1490.7,True,Terverifikasi,KOPERASI,23.0,24090.0,0.528,0.0,True,"https://www.google.com/maps/@-7.89361619,111.42757194,250m/data=!3m1!1e3",True,True,40,Cropland,True
80294,KOPERASI DESA MERAH PUTIH SYARIAH GAMPONG RAYA DELIMA,ACEH,KAB. PIDIE,Delima,5.33531353,95.90480063,False,,-1,,7959.6,True,,6369573,343.9,0.0,False,,-1,,9718.2,504.8,1048.1,7.17,0,False,504.8,False,,,1.0,23398.0,0.396,0.264,False,"https://www.google.com/maps/@5.33531353,95.90480063,250m/data=!3m1!1e3",True,True,40,Cropland,True
50448,KOPERASI DESA MERAH PUTIH WAWORATE,SULAWESI TENGGARA,KAB. KONAWE UTARA,Andowia,-3.51452496,122.1313642,False,,-1,,39792.2,True,,1395814569,341.1,0.0,False,,-1,,3536.1,3177.4,1494.2,1.041,0,False,1494.2,True,,,30.0,4868.0,0.528,0.132,True,"https://www.google.com/maps/@-3.51452496,122.1313642,250m/data=!3m1!1e3",True,True,40,Cropland,True
20712,KOPERASI DESA MERAH PUTIH BALUK KECAMATAN KARANGREJO,JAWA TIMUR,KAB. MAGETAN,Karangrejo,-7.54220676,111.4089305,False,,-1,,6145.1,True,,669968237,338.1,0.0,False,,-1,,9799.9,1566.0,2102.4,3.157,0,False,1566.0,True,Terverifikasi,KOPERASI,514.0,24140.0,0.0,0.0,True,"https://www.google.com/maps/@-7.54220676,111.4089305,250m/data=!3m1!1e3",True,True,40,Cropland,True
51298,KOPERASI DESA MERAH PUTIH KARANGHARUM KEDUNGWARINGIN,JAWA BARAT,KAB. BEKASI,Kedung Waringin,-6.24190934,107.2312743,False,,-1,,600.3,True,,548629808,337.8,0.0,False,,-1,,5162.1,657.2,2257.6,5.136,0,False,657.2,False,Terverifikasi,Agrinas,649.0,53208.0,0.396,0.396,False,"https://www.google.com/maps/@-6.24190934,107.2312743,250m/data=!3m1!1e3",True,True,40,Cropland,True
